row_type,name,kind,status,value,numerator,denominator,unit,notes,detected,result
metric,field_presence_arc,,MEASURED,1.0,20,20,fraction,Required-field presence on the in-memory transaction object.,,
metric,independently_verified_arc,,MEASURED,1.0,20,20,fraction,"Required-field presence after reloading persisted records and running the in-repository verifier module. The verifier is a separate implementation in this repository, not an external auditor.",,
metric,audit_reconstruction_completeness,,MEASURED,1.0,20,20,fraction,Headline ARC equals independently_verified_arc from persisted records after the in-repository verifier succeeds.,,
metric,required_event_completeness,,MEASURED,1.0,11,11,fraction,Successful-transaction required event presence.,,
metric,tamper_detection_rate,,MEASURED,1.0,19,19,fraction,,,
metric,false_tamper_rate,,MEASURED,0.0,0,3,fraction,,,
metric,replay_fidelity,,MEASURED,1.0,1.0,1,fraction_exact_or_equivalent,classification=EXACT_MATCH,,
metric,evidence_attribution_coverage,,MEASURED,1.0,2,2,fraction,,,
metric,human_action_capture_completeness,,MEASURED,1.0,1,1,fraction,,,
metric,capture_overhead,,MEASURED,0.645049746228628,5.773515266870769,9.001254202060712,latency_ratio,latency_ratio = (T_plane - T_no_audit_workflow) / T_no_audit_workflow; storage_overhead_allocated = (bytes_allocated_plane - bytes_allocated_baseline) / bytes_allocated_baseline; storage_total_allocated = bytes_allocated_plane / bytes_allocated_baseline,,
metric,storage_overhead,,MEASURED,6.19994724347138,70512.0,11373.0,relative_allocated_overhead,Allocated files including SQLite page allocation. Relative overhead is (B_plane - B_base) / B_base; total allocated multiplier is B_plane / B_base. Logical serialized bytes are reported separately.,,
metric,storage_total_allocated,,MEASURED,7.19994724347138,81885.0,11373.0,allocated_multiplier,Allocated file size of the complete plane divided by the unrecorded workflow.,,
metric,storage_overhead_logical,,MEASURED,2.469093466983206,28081.0,11373.0,relative_logical_overhead,"UTF-8 octet length of SQLite event and transaction payloads plus protected-content files, excluding page allocation.",,
metric,storage_total_logical,,MEASURED,3.469093466983206,39454.0,11373.0,logical_multiplier,UTF-8 logical serialized bytes of the complete plane divided by the unrecorded workflow.,,
metric,verification_latency,,MEASURED,1.1146249889861792,1.1146249889861792,1,milliseconds,verification_status=VERIFIED,,
metric,reviewer_task_success,,SCRIPTED_PROXY,1.0,5.0,5,fraction,Not a human-subject usability result; scripted field reconstruction only.,,
metric,cohort.audit_reconstruction_completeness,cohort,MEASURED,1.0,,50,fraction,"median=1.0; ci95=[0.9286499658256813, 1.0]",,
metric,cohort.independently_verified_arc,cohort,MEASURED,1.0,,50,fraction,"median=1.0; ci95=[0.9286499658256813, 1.0]",,
metric,cohort.required_event_completeness,cohort,MEASURED,1.0,,50,fraction,"median=1.0; ci95=[0.9286499658256813, 1.0]",,
metric,cohort.evidence_attribution_coverage,cohort,MEASURED,1.0,,50,fraction,"median=1.0; ci95=[0.9286499658256813, 1.0]",,
metric,cohort.human_action_capture_completeness,cohort,MEASURED,1.0,,50,fraction,"median=1.0; ci95=[0.9286499658256813, 1.0]",,
metric,cohort.run_latency,cohort,MEASURED,13.925514103029855,,50,milliseconds,"median=13.776021005469374; ci95=[13.717349185872807, 14.133679020186902]",,
metric,cohort.verification_latency,cohort,MEASURED,1.1122900829650462,,50,milliseconds,"median=1.0445000079926103; ci95=[1.0701907965773068, 1.1543893693527856]",,
metric,cohort.protected_bytes_added,cohort,MEASURED,15472.88,,50,bytes,"median=15455.0; ci95=[15437.8352, 15507.924799999999]",,
metric,cohort.event_count,cohort,MEASURED,23.0,,50,events,"median=23.0; ci95=[23.0, 23.0]",,
metric,cohort.tamper_detection_rate,cohort,REPRESENTATIVE_CASE,,,,fraction,"median=None; ci95=[None, None]",,
scenario,accept,ACCEPT,COMPLETED,1.0,,,,,,VERIFIED
scenario,modify,MODIFY,COMPLETED,1.0,,,,,,VERIFIED
scenario,reject,REJECT,COMPLETED,1.0,,,,,,VERIFIED
scenario,guardrail_warn,WARN,COMPLETED,1.0,,,,,,VERIFIED
scenario,guardrail_block,BLOCK,BLOCKED,0.7,,,,Blocked before human ACCEPT; incomplete required events are expected.,,INCOMPLETE
scenario,synthea_sliced,ACCEPT,COMPLETED,1.0,,,,"Sliced first encounter from approved Synthea bundle 1 of 2 (source digest 90b65cb8389b, license CC-BY 4.0, source https://github.com/synthetichealth/synthea, generator_version NOT_PINNED); not copied into this repository.",,VERIFIED
scenario,synthea_sliced_second,ACCEPT,COMPLETED,1.0,,,,"Sliced first encounter from approved Synthea bundle 2 of 2 (source digest 639cfd5447e2, license CC-BY 4.0, source https://github.com/synthetichealth/synthea, generator_version NOT_PINNED); not copied into this repository.",,VERIFIED
scenario,two_step_accept,ACCEPT,COMPLETED,1.0,,,,,,VERIFIED
scenario,block_override_accept,BLOCK,COMPLETED,1.0,,,,,,VERIFIED
scenario,natural_guardrail_warn,ACCEPT,COMPLETED,1.0,,,,,,VERIFIED
scenario,natural_guardrail_block,PENDING,BLOCKED,0.65,,,,,,INCOMPLETE
scenario,provider_failure,PENDING,FAILED,0.4,,,,,,INCOMPLETE
scenario,sparse_encounter,ACCEPT,COMPLETED,1.0,,,,,,VERIFIED
scenario,modify_evidence,MODIFY,COMPLETED,1.0,,,,,,VERIFIED
scenario,replay_substitution,ACCEPT,COMPLETED,1.0,,,,,,VERIFIED
scenario,access_audit,ACCEPT,COMPLETED,1.0,,,,,,VERIFIED
ablation,full,ablation,MEASURED,1.0,,,fraction,Complete recorded provenance.,,0.0
ablation,omit_input_manifests,ablation,MEASURED,0.95,,,fraction,Drop in reconstructability when the listed provenance class is omitted.,,0.050000000000000044
ablation,omit_transformations,ablation,MEASURED,0.95,,,fraction,Drop in reconstructability when the listed provenance class is omitted.,,0.050000000000000044
ablation,omit_model_metadata,ablation,MEASURED,0.9,,,fraction,Drop in reconstructability when the listed provenance class is omitted.,,0.09999999999999998
